num,id,content
1,suger,活摘器官
2,a27588679,好像不錯，本來玩五天變八天
3,wt5566,"消費沒達標,導遊會給你翻白眼翻到死"
4,Tristanh,出國玩還要那麼累，實在沒必要
5,w3aki,放心景點不會少 因為少會被告但可能下去晃三分鐘就走 但購物站撐三小時
6,pinhanpaul,同路人
7,zxc17893,嘻嘻
8,atana,因為一嚇我 我就認你作爸了
9,r5566ex,但很多人是被你嚇大的
10,alau,但整個城市都是被你嚇大的
11,F93935,綁架默娘的男人
12,scores,廢話 通常你是嚇人的那個啊
13,scores,https://pse.is/N2NSP
14,orze04,胖子閉嘴
15,inmatao,因為他是嚇人的那個
16,jack21023,被中共收買了嗎
17,greedypeople,我都是負責嚇人那個
18,agersir,我都是負責嚇人那個
19,yang57,媽祖慈悲
20,kukuma,被你嚇大的
21,NgJovi,你想幹嘛
22,holywent801,樓上兩個在一起
23,alasdair,只有我嚇人沒人敢嚇我
24,pigk,罵幹你娘會海景第一排招待嗎？
25,crusaders811,平常都我在嚇人啊
26,mirza,向來只有俺嚇別人..
27,chibmw,https://i.imgur.com/nnEJEKA.jpg
28,peiring,我們才不是被嚇大的耶
29,snsdakb48,都是嚇別人長大的
30,HOYA0071,死胖子
31,andy02,看到這種的噓就好
32,lovetweet,大家都是被流氓嚇大的
33,bg00004,因為都是嚇別人的嗎?
34,brepus,顏敢嗆蔡 我想是因為工輔法跟宗教團體法民進黨都跟顏家站在一起吧～
35,brepus,dpp跟顏都挺工輔法
36,wa88,杜爛。
37,jo0913,都是嚇別人 我懂 XD
38,pttsad,這點他說的倒是事實
39,h311013,真的 很多人被你嚇大的
40,newhander,以上全是預約海景第一排名單
41,crossmyheart,我們是啊～聽～海哭的聲音
42,slimu0001,是呀，因為都你們在嚇別人，魚肉別人
43,wwpuma,靠媽祖斂財的黑道，讚！
44,yuchihsu,他都嚇人嚇到大
45,DFTT,嚇過我的齁 在那一排啦
46,hoberg,穩個屁，天龍人思維，小英再當四年，就是更多窮苦人家，低收只會再翻倍黑道？？！有蘇家在屏東黑嗎？？
47,hoberg,媽祖不會落選
48,hoberg,黑道有時對百姓更有義氣
49,hyuchi0202,好哦，我相信你是嚇人的 QQ
50,DarkerDuck,因為是他嚇別人嚇到大
51,querencia,死黑道
52,KCKCLIN,黑道囂張三小 幹
53,lovejiyeon,推文小心 珍惜生命==
54,G888888,敢嚇的都給他聽海
55,wwvvkai,怕
56,citima,嚇人嚇到大
57,PCcaduceus,死黑道
58,nokla2008,根本超越神的男人好嗎？默娘被嚇到窩在角落抖
59,tokyoto,這句話真有江湖味 難不成要把蔡英文做成消波塊嗎？
60,PPPGGG,推文真的好好笑XDDD
61,nikewang,黑道怎麼會怕被人嚇
62,Philethan,死黑道 幹
63,Ornette,他兒子等著落選
64,Everforest,不是嚇大的 都請人家吃慶記
65,laihom0808,誰敢嚇你，珍惜生命
66,chules,我被你嚇到了
67,z2004hume,我真的無法想像標哥被嚇的表情
68,a4302f,投3Q打敗地方政治
69,ishowhand,沒有別人能嚇標哥 因為只有他能嚇人
70,jack14002,噁心黑道 幹
71,luckydogasdf,可以不要投黑道嗎
72,immercury,喔
73,shadow0326,怕.jpg
74,sjlee1127,.........
75,alladult,哈囉
76,ringtweety,被嚇大的又不是你們
77,danielww,https://youtu.be/H40WYfPdOks
78,summersha,當然啊 你那麼大尾橫著走欸
79,klchen168,那麼有爭議的家族，該下架了
80,GW1014,黑道講的話完全沒說服力
81,jims123,哇 好有膽
82,zucca,垃圾黑道
83,Cersei,你嚇別人就夠忙的了
84,Kikoro,嚇死你
85,voyhanxu,可是我們是被你嚇大的
86,iamsosorry,當然啊~都是你在嚇死大家
87,kyo2001,都你去嚇人的不是嗎
88,dream01212,我不想投給草包
89,lili300,都是你們家去嚇人的吧
90,Moogle,口赫
91,ciplu,因為都是你嚇別人啊
92,billy5588tw,他都嚇人的
93,Fine29,    白癡死肥子
94,LITTLEDENNY,你都嚇人長大
95,Handway,你都嚇人啊，幹
96,ku51655165,乖乖研究水餃 滾
97,farnorth,這句話好多寓意
98,mytoychiu,但年輕投票者是聽著消泡塊故事長大的
99,slimak,死胖子
100,carter8866,口氣真大
101,BlueBird5566,中國人沒那個實力也沒那個膽量，所以這個前提不會成立
102,G888888,美國一定不敢吭聲～
103,tending,賴給台灣然後出兵佔領台灣
104,ethan0419,找個第三世界的國家打
105,ArSaBuLu,殺雞儆猴
106,peiring,會嚴厲遣責
107,frozenmoon,中國人根本就不敢攻擊任何美國本土中國應該再出一個毛澤東，勇敢地號召中國人去攻擊美國人
108,GAIEGAIE,中國一樣有石油 打更爽好嗎
109,barlin,那就三次大戰開打好嗎國家承認自己做:沒宣戰的戰爭行為美國人如果吞得下去 那就不會有太平洋戰爭
110,MUENFENG,認真回 照打不誤 當時中國沒洲際導彈當時美國群情激奮 不打難以交代
111,soulism,"被你發現了,快跟川普講"
112,mecca,美朝                 健康
113,aabb177,打下去不少家人就要回國了
114,mimeory,打下去中國華僑直接被驅逐出境...
115,RollDa,WW3
116,tom77588,當年日本偷幹珍珠港，結果吃了兩發核彈
117,leocean9816,沒那麼白癡
118,pinhanpaul,在美國建立中國人集中營
119,clamperni,中國人的個性很難
120,silver2012,你說貪生怕死愛面子的中國人哦？不可能
121,ASEVE,應該就第三次世界大戰
122,ballby,好問題，就和問如果你爸把你打在牆上一樣
123,sid3,敢吃中國的食物才厲害
124,re340,這個我知道 回來背後跟上腹會有開刀的疤痕
125,jupei,當然是景中店噱回來
126,chanhl,當然是景中店噱回來
127,bignoob,當然是景中店噱回來土特產沒買10萬出不了門
128,zxc17893,蟈
129,funnyrain,這你敢去???回來身上可能會零件短缺
130,funnyrain,以中國人的螂性 去了你就知道
131,F93935,統戰啊，便宜行程讓你看祖國的好不過天天罵共產黨的我連中國轉機都不敢
132,neko0624,把你人哄到那邊還怕榨不出錢來？？？看是要被墜樓還是挖腎臟自己選 不要就交出100萬
133,wt5566,"這種寫很低鐵定很多費用都不包括,如機場稅燃料附加費,行政管理費,導遊小費,保險費別單人報名,床位都雙人房,會隨機換亂配對我朋友就是和老啊罵睡一起,隔天起不來"
134,wt5566,第二晚穿了三件褲子才逃出魔爪
135,wt5566,"導遊部分薪水就是從購物站抽成,你買越多他越高興,但你就越掃興"
136,tmacfly,一定有鬼
137,scores,不購物就不開車
138,scores,樓上根本肥宅福音 換到女的就賺到
139,akuma183,最後一天在浴缸裡醒來 然後裡面全是冰塊
